Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Guardian (Sponsor),Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
99,93,17,24,45,A,18,Male,Married,4,Doctorate,College,Brother,Yes,9,Average,Sports,Low,5,No
72,68,8,20,8,E,23,Female,Single,0,Doctorate,College,Uncle,No,3,Poor,Socializing,Moderate,5,Yes
92,86,12,20,37,B,25,Female,Married,0,Doctorate,High School,Mother,Yes,8,Poor,Watching TV,Moderate,5,Yes
77,86,22,10,45,A,24,Male,Engaged,0,Doctorate,Master's Degree,Uncle,No,0,Poor,Sports,High,4,Yes
82,77,25,8,31,B,20,Male,Married,4,Master's Degree,High School,Sister,Yes,5,Average,Watching TV,Low,7,No
88,93,12,9,48,B,25,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Brother,No,1,Average,Sports,Low,4,No
83,78,17,21,32,A,23,Female,Engaged,0,High School,High School,Uncle,No,4,Poor,Reading,Moderate,0,Yes
88,88,15,14,42,A,18,Female,Single,0,College,Master's Degree,Brother,Yes,6,Average,Reading,Low,6,No
75,74,17,22,8,D,24,Male,Engaged,0,Master's Degree,High School,Mother,Yes,2,Average,Socializing,High,6,Yes
99,99,9,20,35,B,23,Male,Married,5,Master's Degree,Bachelor's Degree,Uncle,Yes,9,Average,Watching TV,High,7,No
75,78,21,22,11,C,24,Male,Single,0,Master's Degree,Master's Degree,Brother,No,8,Poor,Reading,Low,0,No
78,89,24,12,24,B,18,Male,Married,5,High School,Master's Degree,Sister,No,1,Average,Watching TV,Moderate,6,Yes
93,93,20,25,17,B,18,Male,Engaged,0,Master's Degree,High School,Aunty,Yes,3,Good,Socializing,High,3,No
73,70,8,11,14,E,22,Female,Engaged,0,Bachelor's Degree,High School,Aunty,Yes,6,Average,Reading,High,3,No
89,81,12,21,38,A,21,Female,Married,2,College,High School,Father,Yes,8,Poor,Socializing,Low,2,Yes
91,97,15,21,18,C,24,Male,Married,3,Bachelor's Degree,Doctorate,Aunty,Yes,8,Poor,Socializing,Low,7,No
99,87,21,22,11,C,24,Female,Married,1,College,College,Father,Yes,4,Good,Watching TV,Low,1,No
96,79,25,25,33,A,18,Male,Married,5,Master's Degree,College,Brother,No,1,Good,Reading,Moderate,1,No
84,82,16,18,22,C,20,Male,Engaged,0,Doctorate,Bachelor's Degree,Uncle,Yes,0,Average,Reading,Moderate,3,Yes
91,93,17,18,16,C,25,Male,Married,1,Doctorate,Master's Degree,Father,Yes,2,Poor,Reading,Moderate,0,Yes
97,76,19,10,36,B,21,Male,Engaged,0,High School,Doctorate,Uncle,Yes,4,Good,Reading,Moderate,3,Yes
72,61,10,11,19,D,23,Female,Married,1,College,Master's Degree,Brother,No,3,Average,Sports,Moderate,3,Yes
92,95,10,12,34,C,18,Male,Single,0,High School,Doctorate,Uncle,No,8,Poor,Reading,Moderate,4,Yes
64,70,15,17,14,D,19,Male,Married,3,Bachelor's Degree,College,Uncle,Yes,1,Poor,Watching TV,Moderate,7,Yes
98,94,23,8,43,A,18,Female,Married,2,Doctorate,College,Brother,Yes,1,Good,Socializing,Moderate,1,No
73,62,11,10,15,E,20,Female,Single,0,Bachelor's Degree,College,Uncle,Yes,0,Poor,Reading,Low,6,Yes
93,80,17,24,32,A,18,Female,Single,0,College,College,Uncle,No,9,Average,Reading,Moderate,2,Yes
80,91,24,13,14,C,23,Female,Single,0,Master's Degree,College,Mother,No,3,Average,Reading,Low,1,No
63,72,9,11,21,D,23,Male,Engaged,0,College,Bachelor's Degree,Brother,Yes,6,Good,Sports,High,6,Yes
81,84,8,15,39,B,25,Female,Married,3,Master's Degree,Bachelor's Degree,Father,No,8,Good,Watching TV,High,2,Yes
67,65,9,16,20,D,19,Male,Engaged,0,Doctorate,Doctorate,Mother,No,3,Average,Sports,Low,6,Yes
87,78,21,16,23,B,22,Male,Single,0,Doctorate,College,Aunty,Yes,2,Good,Socializing,Moderate,6,Yes
85,78,20,10,37,B,23,Male,Single,0,High School,Bachelor's Degree,Father,No,0,Average,Reading,High,0,Yes
97,81,10,14,28,C,25,Female,Single,0,Bachelor's Degree,College,Mother,Yes,3,Average,Sports,Moderate,3,Yes
83,78,16,13,38,B,25,Female,Engaged,0,Doctorate,Bachelor's Degree,Brother,Yes,1,Poor,Watching TV,Low,2,No
99,97,20,23,27,A,25,Female,Engaged,0,College,College,Father,Yes,8,Poor,Watching TV,Moderate,3,Yes
79,89,10,14,48,A,19,Male,Engaged,0,High School,Doctorate,Sister,No,9,Poor,Socializing,Moderate,1,Yes
89,91,17,23,40,A,19,Male,Single,0,Master's Degree,College,Aunty,Yes,1,Poor,Reading,Low,5,No
97,93,16,14,40,A,22,Female,Engaged,0,High School,Master's Degree,Sister,Yes,4,Average,Reading,Low,1,No
65,66,13,25,8,D,22,Female,Married,3,College,Doctorate,Mother,No,3,Average,Reading,High,2,No
87,82,24,25,11,B,19,Female,Engaged,0,Doctorate,Master's Degree,Sister,No,0,Good,Reading,High,4,No
93,96,17,14,21,C,20,Male,Married,1,Master's Degree,Doctorate,Aunty,Yes,3,Good,Reading,Low,4,No
97,75,12,15,44,A,19,Male,Married,1,Master's Degree,High School,Aunty,Yes,2,Average,Sports,High,0,Yes
94,94,24,17,17,C,19,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Brother,Yes,4,Good,Watching TV,Low,0,Yes
81,97,12,24,40,A,25,Male,Single,0,Bachelor's Degree,College,Mother,Yes,6,Average,Watching TV,Low,2,Yes
76,83,15,8,36,C,18,Female,Married,0,Master's Degree,Doctorate,Father,Yes,0,Poor,Watching TV,Low,7,Yes
78,85,15,22,28,B,18,Female,Single,0,High School,Bachelor's Degree,Aunty,Yes,7,Average,Socializing,Moderate,1,Yes
69,66,9,24,8,D,19,Female,Engaged,0,Bachelor's Degree,College,Aunty,No,7,Good,Watching TV,High,6,No
75,99,12,15,43,A,18,Female,Engaged,0,High School,College,Father,Yes,2,Good,Socializing,High,0,No
83,89,25,23,25,A,24,Male,Single,0,College,Master's Degree,Sister,No,4,Average,Sports,High,3,Yes
60,66,14,20,12,D,25,Male,Engaged,0,Doctorate,College,Mother,No,4,Average,Socializing,High,5,Yes
94,95,17,15,31,B,19,Male,Married,1,College,Master's Degree,Brother,No,4,Average,Watching TV,Low,0,Yes
88,76,24,10,46,A,22,Male,Married,3,Doctorate,Doctorate,Uncle,Yes,5,Average,Sports,High,4,No
66,64,16,8,17,D,18,Female,Engaged,0,Bachelor's Degree,Doctorate,Brother,No,7,Good,Sports,Moderate,0,No
89,76,17,18,24,C,25,Male,Single,0,College,Bachelor's Degree,Brother,No,9,Average,Watching TV,High,4,No
98,97,22,10,30,B,22,Male,Engaged,0,Master's Degree,College,Father,Yes,4,Average,Sports,Low,3,Yes
94,78,16,8,46,A,24,Male,Single,0,Bachelor's Degree,Master's Degree,Brother,No,8,Poor,Sports,Low,7,No
89,75,15,24,28,B,22,Male,Engaged,0,Bachelor's Degree,Doctorate,Brother,No,3,Average,Reading,Moderate,0,No
92,81,15,9,48,A,23,Male,Engaged,0,College,Master's Degree,Aunty,No,9,Poor,Watching TV,Moderate,4,No
90,90,16,17,45,A,23,Female,Single,0,Bachelor's Degree,Doctorate,Sister,Yes,1,Average,Reading,Moderate,2,No
66,71,12,14,14,D,23,Male,Engaged,0,High School,Bachelor's Degree,Brother,Yes,3,Poor,Sports,Moderate,4,Yes
74,67,11,19,19,D,25,Male,Single,0,Doctorate,College,Brother,Yes,0,Poor,Watching TV,High,0,No
60,70,15,22,12,D,22,Female,Engaged,0,High School,Bachelor's Degree,Uncle,Yes,3,Average,Sports,Moderate,2,No
85,89,24,11,24,C,18,Female,Engaged,0,High School,High School,Mother,Yes,3,Average,Reading,High,7,No
76,91,10,11,38,C,23,Male,Single,0,College,College,Brother,Yes,7,Good,Reading,Moderate,4,Yes
73,75,8,14,27,D,22,Male,Single,0,Bachelor's Degree,Master's Degree,Uncle,No,9,Good,Socializing,Moderate,1,No
85,82,24,17,25,B,20,Female,Single,0,Doctorate,Doctorate,Aunty,No,8,Good,Socializing,Low,0,No
87,81,12,12,46,A,18,Female,Engaged,0,High School,College,Aunty,No,2,Poor,Sports,Moderate,2,Yes
97,92,11,19,40,A,21,Female,Engaged,0,High School,College,Sister,No,4,Poor,Reading,High,3,Yes
95,76,20,12,39,A,20,Female,Engaged,0,College,College,Mother,Yes,7,Average,Reading,Low,7,No
90,78,14,13,36,B,22,Female,Engaged,0,Bachelor's Degree,College,Aunty,Yes,7,Poor,Socializing,Low,6,Yes
70,69,17,21,8,D,25,Female,Single,0,College,Bachelor's Degree,Aunty,Yes,2,Average,Sports,Moderate,2,Yes
69,72,12,11,12,E,20,Female,Married,1,Bachelor's Degree,Master's Degree,Aunty,No,5,Average,Reading,High,3,Yes
84,81,16,16,37,B,20,Male,Married,1,Doctorate,Bachelor's Degree,Sister,Yes,4,Poor,Reading,Low,7,Yes
98,94,10,12,30,C,20,Female,Single,0,High School,College,Mother,Yes,1,Poor,Watching TV,High,3,No
61,64,18,13,14,D,25,Female,Single,0,High School,Bachelor's Degree,Father,Yes,7,Good,Socializing,High,5,No
75,98,25,19,40,A,25,Male,Engaged,0,College,Bachelor's Degree,Aunty,No,7,Poor,Socializing,Low,5,Yes
60,61,20,10,17,D,18,Female,Single,0,Bachelor's Degree,College,Mother,Yes,5,Poor,Reading,Low,7,Yes
98,76,20,10,28,C,18,Male,Single,0,Doctorate,Master's Degree,Brother,No,1,Average,Reading,Moderate,7,Yes
83,88,11,9,46,B,21,Female,Married,2,College,Master's Degree,Father,No,2,Good,Watching TV,High,2,No
63,69,11,9,23,D,19,Female,Married,1,College,College,Uncle,Yes,5,Good,Socializing,High,5,No
97,78,22,22,9,C,18,Female,Married,5,Doctorate,High School,Sister,No,4,Average,Socializing,Low,1,No
91,87,16,23,27,B,18,Female,Married,4,High School,High School,Brother,Yes,7,Average,Watching TV,High,5,Yes
94,99,21,16,36,A,20,Male,Single,0,High School,Doctorate,Mother,No,8,Poor,Watching TV,High,6,No
61,75,22,8,16,D,21,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Father,No,2,Poor,Sports,High,3,No
96,98,15,24,43,A,23,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Uncle,No,1,Average,Socializing,Moderate,3,No
99,94,21,15,30,B,20,Female,Single,0,High School,Master's Degree,Uncle,No,2,Average,Sports,Moderate,0,Yes
99,95,20,24,35,A,19,Male,Engaged,0,Bachelor's Degree,College,Uncle,No,9,Good,Sports,High,7,Yes
79,95,25,10,23,C,18,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Aunty,Yes,7,Average,Reading,High,7,Yes
89,83,14,9,27,C,25,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Mother,No,7,Average,Reading,Low,5,Yes
75,99,20,24,29,A,19,Female,Married,4,High School,College,Father,No,7,Average,Watching TV,Low,1,No
79,94,20,23,8,C,23,Male,Single,0,Doctorate,College,Aunty,Yes,4,Good,Sports,Low,0,No
95,85,24,14,39,A,21,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Mother,No,1,Average,Socializing,High,7,Yes
86,85,13,15,40,B,22,Male,Married,1,Master's Degree,Master's Degree,Uncle,Yes,9,Poor,Reading,Low,6,Yes
82,82,23,16,15,C,21,Female,Married,3,Bachelor's Degree,Doctorate,Aunty,No,3,Good,Socializing,Low,7,Yes
99,86,14,13,40,B,19,Male,Married,5,College,High School,Father,No,6,Poor,Socializing,Low,4,Yes
87,87,8,21,25,C,19,Male,Engaged,0,Doctorate,Doctorate,Aunty,Yes,3,Average,Watching TV,Moderate,6,No
87,94,11,8,40,C,25,Male,Married,5,High School,High School,Brother,No,0,Good,Socializing,Moderate,4,Yes
76,99,15,11,45,A,20,Female,Single,0,College,Doctorate,Brother,No,0,Average,Socializing,Low,7,Yes
76,75,16,19,18,C,20,Male,Married,2,Master's Degree,High School,Uncle,Yes,6,Average,Watching TV,High,3,No
60,62,18,14,17,D,18,Male,Single,0,Doctorate,Bachelor's Degree,Mother,No,6,Poor,Sports,Low,3,Yes
90,84,12,8,30,C,22,Female,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,Yes,4,Good,Socializing,Low,0,No
91,93,21,19,36,A,23,Female,Engaged,0,High School,High School,Brother,No,4,Average,Reading,Moderate,4,Yes
91,87,21,15,40,A,21,Male,Married,2,High School,Bachelor's Degree,Uncle,No,7,Poor,Reading,Moderate,7,No
98,90,22,14,49,A,23,Male,Married,5,Doctorate,College,Brother,Yes,2,Poor,Reading,Low,0,No
99,95,25,18,20,B,20,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Father,Yes,9,Average,Socializing,Low,3,No
97,97,23,13,19,C,23,Male,Single,0,Bachelor's Degree,Doctorate,Uncle,Yes,7,Average,Socializing,High,4,Yes
98,81,13,18,23,C,24,Male,Single,0,High School,Master's Degree,Father,Yes,4,Poor,Socializing,High,7,Yes
93,77,20,9,49,A,22,Female,Married,3,High School,Doctorate,Uncle,No,6,Poor,Sports,Low,7,Yes
82,94,13,13,42,B,22,Female,Single,0,Doctorate,High School,Mother,Yes,5,Good,Watching TV,High,0,Yes
64,72,12,11,9,E,18,Female,Engaged,0,Bachelor's Degree,High School,Aunty,Yes,2,Average,Watching TV,High,0,No
95,75,11,25,27,B,23,Male,Married,3,Doctorate,Doctorate,Father,Yes,7,Good,Socializing,Low,4,No
80,94,11,13,31,C,22,Female,Married,1,Bachelor's Degree,Doctorate,Mother,No,6,Poor,Sports,Low,0,No
94,85,19,12,23,C,24,Male,Engaged,0,Doctorate,High School,Uncle,Yes,0,Good,Sports,Low,4,No
86,87,23,10,42,A,19,Female,Single,0,Doctorate,Doctorate,Father,Yes,9,Average,Reading,High,4,Yes
87,77,24,12,20,C,25,Female,Engaged,0,Bachelor's Degree,Master's Degree,Mother,No,0,Average,Sports,High,2,Yes
80,83,13,11,44,B,22,Female,Married,3,College,Master's Degree,Father,Yes,7,Average,Reading,Moderate,5,Yes
98,97,25,21,19,B,19,Male,Married,2,College,College,Mother,Yes,9,Good,Socializing,Low,4,Yes
77,83,12,16,39,B,20,Male,Married,0,High School,High School,Sister,No,8,Average,Socializing,Moderate,2,Yes
82,94,23,24,20,B,19,Male,Engaged,0,Doctorate,Bachelor's Degree,Aunty,Yes,6,Average,Socializing,High,1,Yes
64,64,8,24,15,D,19,Male,Married,3,Doctorate,High School,Sister,Yes,9,Poor,Reading,Moderate,0,Yes
94,78,14,9,43,B,19,Female,Engaged,0,Master's Degree,Master's Degree,Sister,No,5,Good,Watching TV,Moderate,7,Yes
97,87,24,19,15,C,22,Male,Married,2,Doctorate,Bachelor's Degree,Uncle,No,9,Good,Watching TV,High,0,Yes
69,64,9,12,15,E,21,Female,Married,1,Bachelor's Degree,High School,Sister,Yes,5,Average,Reading,Low,1,No
79,82,22,14,21,C,21,Female,Single,0,High School,High School,Father,Yes,8,Average,Reading,High,6,No
96,77,25,20,25,A,22,Male,Married,0,Bachelor's Degree,College,Aunty,No,3,Poor,Reading,Moderate,2,Yes
88,87,24,16,25,B,25,Female,Single,0,Doctorate,High School,Brother,Yes,6,Average,Sports,Moderate,0,Yes
82,99,23,14,34,A,18,Male,Married,3,High School,Bachelor's Degree,Father,Yes,8,Average,Watching TV,High,4,Yes
99,86,16,21,24,B,21,Male,Engaged,0,College,Bachelor's Degree,Father,No,4,Good,Socializing,Moderate,3,Yes
30,10,8,11,10,F,24,Female,Single,0,College,Bachelor's Degree,Mother,No,3,Poor,Watching TV,Low,5,Yes
61,65,15,12,17,D,25,Female,Married,4,Master's Degree,College,Aunty,No,9,Poor,Sports,High,2,No
78,95,13,15,29,C,18,Male,Married,3,Bachelor's Degree,College,Father,Yes,3,Good,Watching TV,High,1,No
76,78,24,13,41,A,24,Female,Married,1,Bachelor's Degree,Master's Degree,Sister,Yes,0,Good,Reading,Low,2,Yes
81,99,23,9,40,A,20,Female,Engaged,0,Doctorate,College,Sister,No,1,Poor,Sports,Low,1,No
94,81,18,18,38,A,19,Female,Engaged,0,Master's Degree,Master's Degree,Father,No,8,Average,Socializing,Low,4,Yes
91,98,16,17,49,A,19,Female,Married,0,College,Bachelor's Degree,Aunty,No,1,Good,Watching TV,High,7,Yes
87,85,16,17,41,A,19,Male,Engaged,0,Bachelor's Degree,High School,Mother,No,0,Poor,Sports,High,0,No
88,80,25,14,11,C,22,Male,Single,0,College,High School,Mother,No,4,Average,Socializing,High,2,Yes
93,86,19,17,35,A,19,Female,Engaged,0,High School,Doctorate,Uncle,No,4,Poor,Sports,High,7,No
83,77,11,15,34,B,24,Male,Engaged,0,Bachelor's Degree,College,Father,Yes,5,Average,Reading,Low,2,Yes
71,72,8,14,9,E,21,Male,Single,0,Bachelor's Degree,College,Aunty,Yes,7,Good,Reading,High,6,No
99,99,9,21,40,A,19,Female,Single,0,Bachelor's Degree,College,Father,No,1,Good,Sports,High,4,Yes
85,76,23,15,41,A,23,Male,Single,0,Master's Degree,Bachelor's Degree,Brother,Yes,1,Average,Watching TV,Moderate,0,Yes
96,89,21,16,44,A,21,Male,Married,3,Master's Degree,Bachelor's Degree,Aunty,No,9,Average,Watching TV,Low,4,Yes
95,98,14,10,31,C,24,Male,Single,0,High School,High School,Father,Yes,9,Good,Watching TV,High,1,No
94,92,22,9,19,C,24,Male,Single,0,Master's Degree,Doctorate,Aunty,Yes,4,Poor,Socializing,Low,7,No
96,79,9,19,44,A,22,Female,Engaged,0,Doctorate,Doctorate,Sister,Yes,4,Average,Reading,Moderate,2,Yes
65,62,17,14,16,D,21,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Father,Yes,0,Poor,Sports,High,1,Yes
98,77,8,22,44,A,24,Male,Married,3,High School,Bachelor's Degree,Aunty,Yes,8,Average,Socializing,High,1,Yes
81,87,15,10,44,B,18,Male,Engaged,0,Master's Degree,Doctorate,Brother,Yes,2,Average,Reading,High,2,Yes
86,95,8,20,43,A,19,Male,Single,0,Doctorate,High School,Sister,No,5,Good,Watching TV,Low,4,No
73,75,22,9,14,D,19,Male,Engaged,0,Master's Degree,Doctorate,Sister,No,9,Good,Reading,Low,0,Yes
90,82,19,25,47,A,24,Female,Single,0,Doctorate,College,Aunty,Yes,4,Average,Reading,Low,1,No
60,63,13,9,19,D,19,Female,Single,0,Doctorate,High School,Mother,Yes,1,Good,Sports,Low,7,No
75,69,9,12,11,E,22,Male,Married,0,Doctorate,Bachelor's Degree,Mother,Yes,3,Average,Reading,High,5,No
89,80,20,22,28,A,22,Female,Married,2,Bachelor's Degree,High School,Sister,No,0,Poor,Socializing,Low,1,Yes
82,78,21,12,45,A,21,Male,Engaged,0,Master's Degree,Bachelor's Degree,Mother,Yes,0,Good,Reading,Low,3,No
76,94,23,14,24,B,21,Female,Married,1,Master's Degree,Bachelor's Degree,Father,Yes,4,Average,Socializing,Low,2,No
70,73,15,19,12,D,24,Female,Single,0,High School,Doctorate,Mother,No,7,Average,Socializing,Moderate,2,Yes
84,97,13,19,23,C,22,Female,Single,0,Bachelor's Degree,Master's Degree,Mother,No,3,Good,Watching TV,Low,3,Yes
65,62,18,10,21,D,24,Female,Single,0,Doctorate,Bachelor's Degree,Aunty,Yes,3,Poor,Watching TV,High,1,No
81,77,12,20,20,C,20,Female,Single,0,Bachelor's Degree,College,Uncle,No,3,Average,Reading,Moderate,5,Yes
88,84,20,13,44,A,21,Female,Engaged,0,Bachelor's Degree,High School,Father,Yes,2,Poor,Watching TV,Moderate,2,Yes
93,95,21,10,34,B,21,Male,Engaged,0,College,High School,Aunty,No,5,Poor,Sports,Moderate,1,No
94,97,19,22,16,C,22,Female,Married,2,High School,Doctorate,Father,Yes,4,Average,Sports,High,5,No
86,78,16,11,39,B,23,Female,Engaged,0,High School,High School,Mother,No,2,Poor,Reading,Moderate,7,Yes
95,86,16,17,42,A,21,Male,Single,0,High School,Bachelor's Degree,Father,Yes,5,Poor,Socializing,Low,2,Yes
72,74,8,9,23,D,25,Female,Engaged,0,Master's Degree,High School,Sister,No,7,Good,Sports,High,0,Yes
99,95,9,11,46,B,22,Male,Married,5,Master's Degree,College,Aunty,Yes,1,Good,Watching TV,Low,6,Yes
98,82,11,23,31,B,24,Female,Engaged,0,High School,College,Mother,Yes,1,Average,Socializing,Moderate,1,No
83,84,10,20,47,A,18,Female,Married,0,Doctorate,College,Uncle,No,1,Average,Sports,High,1,Yes
96,84,25,16,34,A,19,Female,Married,1,Doctorate,College,Uncle,No,0,Good,Reading,Low,6,Yes
86,82,21,21,12,C,21,Male,Single,0,Bachelor's Degree,College,Sister,No,2,Average,Socializing,Low,6,No
94,87,15,19,16,C,20,Male,Married,4,Doctorate,College,Uncle,No,8,Poor,Sports,Low,0,No
70,63,19,11,12,D,23,Female,Married,1,College,College,Sister,Yes,6,Poor,Socializing,High,4,Yes
82,96,23,17,47,A,19,Female,Married,5,High School,Master's Degree,Uncle,No,2,Good,Socializing,Low,7,Yes
94,84,17,25,36,A,24,Male,Married,2,Master's Degree,Bachelor's Degree,Mother,No,3,Average,Reading,High,1,Yes
67,75,11,25,13,D,20,Male,Married,2,High School,Master's Degree,Aunty,Yes,9,Average,Watching TV,Low,2,Yes
63,66,12,8,21,D,21,Male,Single,0,Doctorate,Doctorate,Aunty,Yes,0,Poor,Sports,Moderate,3,No
84,95,10,18,45,A,20,Female,Single,0,Master's Degree,High School,Sister,No,4,Poor,Reading,Moderate,1,Yes
71,69,16,14,10,D,22,Female,Single,0,College,Bachelor's Degree,Uncle,Yes,4,Poor,Sports,Low,6,Yes
92,86,17,20,13,C,23,Male,Engaged,0,Doctorate,College,Uncle,Yes,4,Average,Reading,Moderate,5,Yes
90,85,21,13,37,A,19,Male,Single,0,College,Doctorate,Brother,Yes,9,Average,Sports,Low,3,No
86,97,25,15,41,A,23,Female,Single,0,College,Master's Degree,Brother,No,3,Average,Socializing,Low,1,No
97,76,17,22,15,C,23,Female,Married,4,High School,College,Father,No,6,Average,Sports,Moderate,1,No
78,81,8,23,47,A,22,Female,Married,2,Bachelor's Degree,Bachelor's Degree,Sister,Yes,4,Poor,Sports,Low,6,No
95,96,24,23,22,B,19,Male,Married,2,High School,Master's Degree,Mother,Yes,6,Poor,Socializing,Low,0,No
93,77,15,16,22,C,23,Female,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,No,6,Poor,Socializing,Moderate,2,Yes
75,98,12,10,46,B,19,Male,Married,1,Bachelor's Degree,Bachelor's Degree,Aunty,No,9,Average,Watching TV,Low,4,No
92,79,15,23,50,A,24,Male,Married,2,Bachelor's Degree,Master's Degree,Sister,Yes,5,Average,Socializing,High,6,Yes
87,76,15,8,47,A,25,Female,Married,2,Bachelor's Degree,Bachelor's Degree,Aunty,No,6,Average,Sports,Moderate,0,No
91,83,21,12,22,C,18,Male,Single,0,Master's Degree,Bachelor's Degree,Sister,No,6,Average,Socializing,Moderate,1,No
82,94,9,14,40,B,21,Female,Single,0,Doctorate,Bachelor's Degree,Mother,No,0,Average,Reading,High,4,Yes
76,93,23,9,42,A,24,Female,Married,2,High School,Master's Degree,Brother,Yes,9,Good,Reading,High,6,Yes
77,78,16,22,38,A,22,Male,Married,5,Master's Degree,Bachelor's Degree,Brother,Yes,3,Average,Watching TV,High,7,Yes
89,76,18,21,20,C,25,Male,Engaged,0,Bachelor's Degree,High School,Brother,No,7,Poor,Reading,High,7,Yes
67,68,14,8,21,D,23,Male,Engaged,0,High School,College,Uncle,Yes,5,Poor,Reading,Moderate,0,Yes
77,99,17,20,44,A,22,Male,Married,5,High School,Bachelor's Degree,Uncle,Yes,8,Good,Watching TV,Low,0,No
96,90,9,22,41,A,25,Male,Single,0,College,Master's Degree,Father,No,8,Good,Sports,High,6,Yes
99,94,13,14,44,A,21,Female,Married,1,Master's Degree,College,Uncle,No,0,Average,Reading,Moderate,4,Yes
88,88,8,24,31,B,24,Female,Engaged,0,Bachelor's Degree,High School,Sister,Yes,1,Poor,Watching TV,Low,1,No
76,92,20,25,33,A,22,Female,Married,2,Doctorate,High School,Father,Yes,3,Average,Sports,High,1,Yes
83,86,24,15,37,A,21,Female,Married,1,Doctorate,Doctorate,Father,Yes,7,Good,Sports,Moderate,6,No
99,77,20,19,47,A,25,Female,Married,3,Doctorate,Bachelor's Degree,Mother,No,7,Good,Reading,Low,3,No
91,96,18,15,34,B,19,Female,Engaged,0,Master's Degree,Bachelor's Degree,Father,Yes,9,Good,Watching TV,Moderate,4,Yes
76,76,24,15,44,A,25,Female,Married,2,High School,Doctorate,Uncle,Yes,5,Good,Sports,Moderate,6,No
96,92,19,23,18,B,19,Female,Engaged,0,Master's Degree,Master's Degree,Uncle,Yes,3,Average,Reading,Low,4,Yes
64,74,12,21,13,D,19,Female,Single,0,College,High School,Mother,No,2,Poor,Sports,Moderate,1,Yes
78,86,20,16,31,B,21,Female,Married,2,High School,College,Aunty,Yes,1,Average,Watching TV,Moderate,7,Yes
60,62,18,11,18,D,19,Male,Single,0,Bachelor's Degree,Master's Degree,Uncle,Yes,9,Good,Reading,Moderate,0,Yes
79,91,20,21,47,A,21,Male,Married,0,Bachelor's Degree,Master's Degree,Uncle,Yes,4,Good,Reading,Low,1,No
77,88,22,21,20,B,23,Male,Married,3,High School,Master's Degree,Aunty,No,9,Good,Socializing,Moderate,7,Yes
98,96,22,21,22,B,20,Female,Single,0,High School,Bachelor's Degree,Brother,Yes,5,Average,Sports,High,7,Yes
94,84,25,15,13,C,23,Male,Single,0,Doctorate,Bachelor's Degree,Sister,Yes,7,Average,Reading,Moderate,0,No
69,69,17,10,8,E,20,Female,Single,0,Doctorate,Doctorate,Mother,Yes,3,Good,Sports,Moderate,6,No
87,78,22,25,32,A,22,Female,Single,0,Bachelor's Degree,Doctorate,Uncle,No,5,Good,Reading,High,2,Yes
76,76,24,16,38,A,18,Male,Engaged,0,High School,Bachelor's Degree,Aunty,No,7,Average,Watching TV,High,5,Yes
79,89,18,14,37,B,18,Female,Married,0,Master's Degree,High School,Uncle,Yes,4,Average,Socializing,Low,1,Yes
90,76,19,21,40,A,22,Female,Engaged,0,College,Bachelor's Degree,Brother,Yes,1,Average,Reading,Moderate,3,Yes
76,76,23,17,19,C,24,Male,Single,0,Bachelor's Degree,Master's Degree,Aunty,No,6,Average,Reading,Low,3,No
63,60,12,25,12,D,22,Male,Engaged,0,Bachelor's Degree,High School,Uncle,No,7,Average,Socializing,High,6,No
97,90,23,23,10,C,21,Male,Married,4,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,7,Good,Reading,Low,1,Yes
95,98,21,9,26,C,25,Male,Single,0,Doctorate,Bachelor's Degree,Brother,Yes,4,Good,Sports,High,3,Yes
99,95,9,14,47,A,21,Female,Engaged,0,Master's Degree,Doctorate,Sister,No,2,Good,Socializing,Low,7,No
97,82,10,25,18,C,18,Female,Married,4,Master's Degree,College,Brother,Yes,2,Average,Watching TV,Moderate,2,No
84,82,12,10,46,B,21,Female,Engaged,0,Master's Degree,Master's Degree,Uncle,No,2,Average,Sports,Low,6,No
98,78,8,23,28,C,18,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,6,Poor,Watching TV,High,6,Yes
96,97,15,25,22,B,24,Male,Engaged,0,Bachelor's Degree,High School,Father,No,4,Poor,Reading,Low,3,No
86,80,9,14,43,B,21,Female,Married,5,College,Master's Degree,Sister,Yes,2,Average,Watching TV,Moderate,1,No
92,98,10,12,47,B,24,Female,Engaged,0,College,Bachelor's Degree,Sister,Yes,1,Average,Watching TV,Low,3,Yes
